Adj 1,Adj 2,Frequency
حی,توانا,1
شیرین,ترش,1
خوشگوی,خوشتر,1
مسکین,امیدوار,1
نامتناسب,حیوانی,1
خوشتر,هلاک,2
بریده,پر,1
خلقی,متحیر,1
وفادار,بهتر,1
زیبا,حلال,1
فلاخن,بتر,1
دردمند,بیدار,1
رمقی,بیش,1
کردی,فراموش,1
راست,حاکم,1
فقیر,ناتوان,1
گرم,قبول,1
سرگردان,عاشق,1
زنده,باز,1
بیچاره,مریز,1
جسمی,بدیع,1
مرده,بهتر,1
تلخ,بدیع,1
بامدادی,خوش,1
حاضر,غایب,1
حکیم,بیش,1
پاکیزه,اخلاقی,1
اندکی,سست,1
مرده,باز,1
فقیر,قانع,1
سیه,سپید,1
بیش,گران,1
توام,حرام,1
بیش,اولیتر,1
دراز,بیشتر,1
لبالب,خالی,1
بخشنده,دستگیر,1
گستر,کارساز,1
دردانه,پر,1
شاهی,مپوش,1
مزدور,خوشدل,1
نیکو,قبول,1
بدی,راست,1
عابد,هوشیار,1
درمانده,سخت,1
چنویی,کم,1
جنگی,مریز,1
زبر,زیر,1
بد,افزون,1
تهیدست,باز,3
خواهنده,محروم,1
آهنین,راست,1
های,حرام,1
خونی,پر,1
معروف,معروف,1
سیه,پاره,2
سری,مست,1
والا,رسی,1
بیچاره,محروم,1
تنگ,بهتر,1
دلبندش,آشفته,1
نهان,باز,1
سخت,رنجور,1
سیاهی,دراز,1
زشت,ناسازگار,1
عارضش,خوشتر,1
روان,باز,1
خفته,بیدار,1
روشنش,تیره,1
شهری,غریب,1
بخشنده,باز,1
بدشان,مقید,1
خامشی,ادبست,1
راست,مسلم,1
عاقل,خوار,1
فربهی,لاغر,1
تیره,روان,1
تهی,کوفته,1
خراشیدی,ایمن,1
بدم,حسن,1
آزموده,معلوم,1
ممکن,نمی,1
بیخار,میسر,1
پرستی,هواپرست,1
لاابالی,فاش,1
کج,کلهی,1
راست,بزرگی,1
تر,مسکین,1
خوشت,نهان,1
خیرش,محروم,1
اندکی,بیش,1
امیدوار,قبول,2
کوته,باز,1
جاودان,متصور,1
بد,دور,1
دور,باز,1
اندک,اندک,1
دروغ,شیرین,1
بسته,مغلوب,1
لطیف,دانا,1
نیک,باز,1
درست,باز,1
بد,پنهان,1
جاهل,سرمست,1
تنگ,پر,1
