Adj 1,Adj 2,Adj 3,Frequency
تهی,پر,آشفته,1
اندک,اندک,کم,2
عیان,اوّلین,باز,1
خوش,خوش,برکنار,1
خودخواه,مغرور,دون,1
ویژه,پیدا,بلند,1
جانی,ابرو,کمانی,1
خندان,توئی,پیدا,1
خجل,پارسا,دلیر,1
مختصر,خوشتر,اخصر,1
خسته,غمگین,غریب,1
منصفتر,ازین,نامعلوم,1
مشتی,خاکی,آسان,1
خندان,بفندق,مشکین,1
خوب,میسر,نمی,1
بدبخت,بدکردار,دور,1
اندک,اندک,پر,1
اندک,اندک,خشک,1
اندک,اندک,باز,1
جاهل,خوش,خوار,1
سوزنده,جدا,اولاتر,1
پاکیزه,بیانی,برسان,1
سرگشته,کم,پیدا,1
پیر,روشن,روان,1
برین,معلوم,نامعلوم,1
کم,بیش,شمسی,1
لنگ,بیکبار,باز,1
نهفته,پیدا,خوش,1
بیش,راحت,بیش,1
